MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,DEGURBA,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_ni,NAT,FR62,I551TOI553,2015,DEG3,6959945,A,F,NR,
occ_ni,NAT,FR63,I551TOI553,2015,DEG3,1104271,A,F,NR,
occ_ni,NAT,FR7,I551TOI553,2015,DEG3,23314206,A,F,NR,
occ_ni,NAT,FR71,I551TOI553,2015,DEG3,19962023,A,F,NR,
occ_ni,NAT,FR72,I551TOI553,2015,DEG3,3352182,A,F,NR,
occ_ni,NAT,FR8,I551TOI553,2015,DEG3,24614939,A,F,NR,
occ_ni,NAT,FR81,I551TOI553,2015,DEG3,8935890,A,F,NR,
occ_ni,NAT,FR82,I551TOI553,2015,DEG3,10436229,A,F,NR,
occ_ni,NAT,FR83,I551TOI553,2015,DEG3,5242820,A,F,NR,
occ_ni,NAT,FRA,I551TOI553,2015,DEG3,1342329,A,F,NR,
occ_ni,NAT,FRA1,I551TOI553,2015,DEG3,352007,A,F,NR,
occ_ni,NAT,FRA2,I551TOI553,2015,DEG3,828815,A,F,NR,
occ_ni,NAT,FRA3,I551TOI553,2015,DEG3,38311,A,F,NR,
occ_ni,NAT,FRA4,I551TOI553,2015,DEG3,123195,A,F,NR,
occ_ni,NAT,FRA5,I551TOI553,2015,DEG3,0,A,F,NR,
occ_ni,NAT,FR,I552,2015,DEG1,19347191,A,F,NR,
occ_ni,NAT,FR,I552,2015,DEG2,14685600,A,F,NR,
occ_ni,NAT,FR,I552,2015,DEG3,37513893,A,F,NR,
occ_ni,NAT,FR,I553,2015,DEG1,8122989,A,F,NR,
occ_ni,NAT,FR,I553,2015,DEG2,18214316,A,F,NR,
occ_ni,NAT,FR,I553,2015,DEG3,50493996,A,F,NR,
occ_ni,NAT,FR,I551TOI553,2016,DEG1,97208832,A,F,NR,
occ_ni,NAT,FR1,I551TOI553,2016,DEG1,25566513,A,F,NR,
occ_ni,NAT,FR10,I551TOI553,2016,DEG1,25566513,A,F,NR,
occ_ni,NAT,FR2,I551TOI553,2016,DEG1,8918319,A,F,NR,
occ_ni,NAT,FR21,I551TOI553,2016,DEG1,1305918,A,F,NR,
occ_ni,NAT,FR22,I551TOI553,2016,DEG1,1029508,A,F,NR,
occ_ni,NAT,FR23,I551TOI553,2016,DEG1,1406423,A,F,NR,
occ_ni,NAT,FR24,I551TOI553,2016,DEG1,2766137,A,F,NR,
occ_ni,NAT,FR25,I551TOI553,2016,DEG1,1055228,A,F,NR,
occ_ni,NAT,FR26,I551TOI553,2016,DEG1,1355105,A,F,NR,
occ_ni,NAT,FR3,I551TOI553,2016,DEG1,4195761,A,F,NR,
occ_ni,NAT,FR30,I551TOI553,2016,DEG1,4195761,A,F,NR,
occ_ni,NAT,FR4,I551TOI553,2016,DEG1,5266107,A,F,NR,
occ_ni,NAT,FR41,I551TOI553,2016,DEG1,1260196,A,F,NR,
occ_ni,NAT,FR42,I551TOI553,2016,DEG1,3139731,A,F,NR,
occ_ni,NAT,FR43,I551TOI553,2016,DEG1,866179,A,F,NR,
occ_ni,NAT,FR5,I551TOI553,2016,DEG1,11742064,A,F,NR,
occ_ni,NAT,FR51,I551TOI553,2016,DEG1,4427317,A,F,NR,
occ_ni,NAT,FR52,I551TOI553,2016,DEG1,4245111,A,F,NR,
occ_ni,NAT,FR53,I551TOI553,2016,DEG1,3069636,A,F,NR,
occ_ni,NAT,FR6,I551TOI553,2016,DEG1,9512836,A,F,NR,
occ_ni,NAT,FR61,I551TOI553,2016,DEG1,5734078,A,F,NR,
occ_ni,NAT,FR62,I551TOI553,2016,DEG1,2909830,A,F,NR,
occ_ni,NAT,FR63,I551TOI553,2016,DEG1,868927,A,F,NR,
occ_ni,NAT,FR7,I551TOI553,2016,DEG1,9210130,A,F,NR,
occ_ni,NAT,FR71,I551TOI553,2016,DEG1,8044802,A,F,NR,
occ_ni,NAT,FR72,I551TOI553,2016,DEG1,1165328,A,F,NR,
occ_ni,NAT,FR8,I551TOI553,2016,DEG1,22451137,A,F,NR,
occ_ni,NAT,FR81,I551TOI553,2016,DEG1,6600930,A,F,NR,
occ_ni,NAT,FR82,I551TOI553,2016,DEG1,15313364,A,F,NR,
occ_ni,NAT,FR83,I551TOI553,2016,DEG1,536844,U,N,NR,
occ_ni,NAT,FRA1,I551TOI553,2016,DEG1,0,A,F,NR,
occ_ni,NAT,FRA3,I551TOI553,2016,DEG1,0,A,F,NR,
occ_ni,NAT,FR,I551TOI553,2016,DEG2,67897808,A,F,NR,
occ_ni,NAT,FR1,I551TOI553,2016,DEG2,5286142,A,F,NR,
occ_ni,NAT,FR10,I551TOI553,2016,DEG2,5286142,A,F,NR,
occ_ni,NAT,FR2,I551TOI553,2016,DEG2,7643449,A,F,NR,
occ_ni,NAT,FR21,I551TOI553,2016,DEG2,553058,A,F,NR,
occ_ni,NAT,FR22,I551TOI553,2016,DEG2,785278,A,F,NR,
occ_ni,NAT,FR23,I551TOI553,2016,DEG2,677903,A,F,NR,
occ_ni,NAT,FR24,I551TOI553,2016,DEG2,1739178,A,F,NR,
occ_ni,NAT,FR25,I551TOI553,2016,DEG2,2528310,A,F,NR,
occ_ni,NAT,FR26,I551TOI553,2016,DEG2,1359721,A,F,NR,
occ_ni,NAT,FR3,I551TOI553,2016,DEG2,972964,A,F,NR,
occ_ni,NAT,FR30,I551TOI553,2016,DEG2,972964,A,F,NR,
occ_ni,NAT,FR4,I551TOI553,2016,DEG2,3288102,A,F,NR,
occ_ni,NAT,FR41,I551TOI553,2016,DEG2,1884246,A,F,NR,
occ_ni,NAT,FR42,I551TOI553,2016,DEG2,905638,A,F,NR,
occ_ni,NAT,FR43,I551TOI553,2016,DEG2,498218,A,F,NR,
occ_ni,NAT,FR5,I551TOI553,2016,DEG2,11282273,A,F,NR,
occ_ni,NAT,FR51,I551TOI553,2016,DEG2,5571541,A,F,NR,
occ_ni,NAT,FR52,I551TOI553,2016,DEG2,3995249,A,F,NR,
occ_ni,NAT,FR53,I551TOI553,2016,DEG2,1715484,A,F,NR,
