MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,PARTNER,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_arr,FOR,FR,I551,2015,BR,259222,A,F,NR,
occ_arr,FOR,FR,I551,2015,AME_C_S_OTH,787601,A,F,NR,
occ_arr,FOR,FR,I551,2015,ASI,5176105,A,F,NR,
occ_arr,FOR,FR,I551,2015,CN,1936951,A,F,NR,
occ_arr,FOR,FR,I551,2015,JP,847603,A,F,NR,
occ_arr,FOR,FR,I551,2015,KR,175927,A,F,NR,
occ_arr,FOR,FR,I551,2015,ASI_OTH,2215624,A,F,NR,
occ_arr,FOR,FR,I551,2015,OCE,461910,A,F,NR,
occ_arr,FOR,FR,I551,2015,AU,461910,A,F,NR,
occ_arr,FOR,FR,I551,2015,OCE_OTH,0,A,F,NR,
occ_arr,FOR,FR,I551,2015,WRL_NAL,6670,A,F,NR,
occ_arr,FOR,FR,I551,2015,WORLD,35093619,A,F,NR,
occ_arr,FOR,FR,I552,2015,EUR,3416810,A,F,NR,
occ_arr,FOR,FR,I552,2015,EU28,2946923,A,F,NR,
occ_arr,FOR,FR,I552,2015,BE,618476,A,F,NR,
occ_arr,FOR,FR,I552,2015,BG,7075,A,F,NR,
occ_arr,FOR,FR,I552,2015,CZ,21307,A,F,NR,
occ_arr,FOR,FR,I552,2015,DK,48678,A,F,NR,
occ_arr,FOR,FR,I552,2015,DE,517987,A,F,NR,
occ_arr,FOR,FR,I552,2015,EE,1781,A,F,NR,
occ_arr,FOR,FR,I552,2015,IE,25655,A,F,NR,
occ_arr,FOR,FR,I552,2015,EL,5523,A,F,NR,
occ_arr,FOR,FR,I552,2015,ES,267141,A,F,NR,
occ_arr,FOR,FR,I552,2015,HR,4184,A,F,NR,
occ_arr,FOR,FR,I552,2015,IT,272939,A,F,NR,
occ_arr,FOR,FR,I552,2015,CY,663,A,F,NR,
occ_arr,FOR,FR,I552,2015,LV,2404,A,F,NR,
occ_arr,FOR,FR,I552,2015,LT,3828,A,F,NR,
occ_arr,FOR,FR,I552,2015,LU,26629,A,F,NR,
occ_arr,FOR,FR,I552,2015,HU,17124,A,F,NR,
occ_arr,FOR,FR,I552,2015,MT,535,A,F,NR,
occ_arr,FOR,FR,I552,2015,NL,290228,A,F,NR,
occ_arr,FOR,FR,I552,2015,AT,18115,A,F,NR,
occ_arr,FOR,FR,I552,2015,PL,35319,A,F,NR,
occ_arr,FOR,FR,I552,2015,PT,39446,A,F,NR,
occ_arr,FOR,FR,I552,2015,RO,24767,A,F,NR,
occ_arr,FOR,FR,I552,2015,SI,4916,A,F,NR,
occ_arr,FOR,FR,I552,2015,SK,8427,A,F,NR,
occ_arr,FOR,FR,I552,2015,FI,9331,A,F,NR,
occ_arr,FOR,FR,I552,2015,SE,39863,A,F,NR,
occ_arr,FOR,FR,I552,2015,UK,634582,A,F,NR,
occ_arr,FOR,FR,I552,2015,EFTA,290469,A,F,NR,
occ_arr,FOR,FR,I552,2015,IS,2635,A,F,NR,
occ_arr,FOR,FR,I552,2015,CH_LI,266011,A,F,NR,
occ_arr,FOR,FR,I552,2015,NO,21823,A,F,NR,
occ_arr,FOR,FR,I552,2015,TR,11082,A,F,NR,
occ_arr,FOR,FR,I552,2015,RU,81756,A,F,NR,
occ_arr,FOR,FR,I552,2015,UA,0,A,F,NR,
occ_arr,FOR,FR,I552,2015,EUR_OTH,86580,A,F,NR,
occ_arr,FOR,FR,I552,2015,AFR,97964,A,F,NR,
occ_arr,FOR,FR,I552,2015,ZA,0,A,F,NR,
